Human;Mouse
PIGX;Pigx
LDHAL6B;Ldhal6b
OR9Q1;Olfr1500
VPS13D;Vps13d
KRT17;Krt17
TIAL1;Tial1
PSMD8;Psmd8
TIMM22;Timm22
SLC7A5;Slc7a5
MUM1;Mum1
EIF5;Eif5
BFAR;Bfar
PSMD6;Psmd6
SPPL2A;Sppl2a
DEPDC1B;Depdc1b
FBXO6;Fbxo6
SLC41A2;Slc41a2
DOCK7;Dock7
NXPH1;Nxph1
FAM3D;Oit1
PTX3;Ptx3
NLN;Nln
H1F0;H1f0
PTPRJ;Ptprj
FBXW2;Fbxw2
SCG2;Scg2
PLEKHM2;Plekhm2
MRPL14;Mrpl14
DAP3;Dap3
ARHGEF19;Arhgef19
BOK;Bok
WDR7;Wdr7
KCNE2;Kcne2
PAFAH1B1;Pafah1b1
TYRP1;Tyrp1
UTP14A;Utp14a
GAA;Gaa
MRPS35;Mrps35
GDI2;Gdi2
KIF3B;Kif3b
UBE3B;Ube3b
TTC1;Ttc1
EXTL3;Extl3
SOX4;Sox4
LAMP1;Lamp1
HEY2;Hey2
PDE7B;Pde7b
DMAP1;Dmap1
SNRPD1;Snrpd1
CUZD1;Cuzd1
HIPK3;Hipk3
NACA;Naca
GRIK2;Grik2
PSME4;Psme4
DNAJA3;Dnaja3
NBEA;Nbea
M6PR;M6pr
POGK;Pogk
XPA;Xpa
KIAA0586;2700049A03Rik
TARBP2;Tarbp2
TMEM101;Tmem101
FBXO18;Fbxo18
RPS18;Rps18
RPL10;Rpl10
NRM;Nrm
NMI;Nmi
PPAT;Ppat
FBXO44;Fbxo44
FBXW8;Fbxw8
SIGLEC9;Siglece
PRKAR2A;Prkar2a
GNPAT;Gnpat
LPIN2;Lpin2
TBC1D14;Tbc1d14
PDK4;Pdk4
EXOSC7;Exosc7
HTR1D;Htr1d
HIST1H3F;Hist1h3i
SLC2A3;Slc2a3
DDX55;Ddx55
RAP2A;Rap2a
CREG2;Creg2
HOXA4;Hoxa4
WDR43;Wdr43
TYRO3;Tyro3
ROBO2;Robo2
GREB1;Greb1
XKRX;Xkrx
EIF4G1;Eif4g1
NCF2;Ncf2
RPL37;Rpl37
WWP1;Wwp1
ATF1;Gm1862
NFYB;Nfyb
CPD;Cpd
EPHB2;Ephb2
NAGLU;Naglu
UBE2N;Ube2n
RPL5;Rpl5
ZNF395;Zfp395
MEST;Mest
HIST1H2BD;Hist3h2ba
SYT2;Syt2
ITGB3;Itgb3
RPL37A;Rpl37a
TIMELESS;Timeless
HIST1H2BK;Hist1h2bk
KRT13;Krt13
SPTAN1;Sptan1
SLC25A5;Slc25a5
POLR1B;Polr1b
RPL34;Rpl34-ps2
PCCB;Pccb
BUB1B;Bub1b
C9orf3;2010111I01Rik
PDCD11;Pdcd11
EBPL;Ebpl
